Responsiveness,Ketersediaan Sumber Daya,Kualitas Pengajaran,Bimbingan dan Dukungan Akademis,Kelas
Tinggi,Rendah,Sedang,Rendah,Puas
Rendah,Rendah,Tinggi,Tinggi,Tidak Puas
Tinggi,Rendah,Tinggi,Rendah,Puas
Tinggi,Tinggi,Rendah,Tinggi,Tidak Puas
Rendah,Rendah,Tinggi,Rendah,Tidak Puas
Tinggi,Tinggi,Tinggi,Rendah,Puas
Tinggi,Tinggi,Tinggi,Tinggi,Tidak Puas
Rendah,Rendah,Rendah,Rendah,Puas
Tinggi,Tinggi,Tinggi,Tinggi,Puas
Tinggi,Tinggi,Rendah,Tinggi,Puas
Tinggi,Rendah,Tinggi,Rendah,Puas
Rendah,Rendah,Rendah,Tinggi,Tidak Puas
Rendah,Rendah,Tinggi,Tinggi,Puas
Rendah,Tinggi,Sedang,Tinggi,Tidak Puas
Tinggi,Tinggi,Tinggi,Sedang,Puas
Rendah,Rendah,Sedang,Tinggi,Tidak Puas
Tinggi,Tinggi,Tinggi,Sedang,Puas
Tinggi,Tinggi,Rendah,Tinggi,Tidak Puas
Tinggi,Tinggi,Tinggi,Tinggi,Puas
Rendah,Rendah,Rendah,Rendah,Puas
Tinggi,Tinggi,Tinggi,Tinggi,Puas
Tinggi,Tinggi,Rendah,Tinggi,Puas
Rendah,Tinggi,Rendah,Rendah,Tidak Puas
Tinggi,Tinggi,Tinggi,Tinggi,Puas
Tinggi,Tinggi,Rendah,Tinggi,Puas
Rendah,Rendah,Rendah,Rendah,Tidak Puas
Tinggi,Tinggi,Tinggi,Tinggi,Puas
Tinggi,Tinggi,Rendah,Tinggi,Puas
Tinggi,Rendah,Tinggi,Rendah,Puas
Rendah,Rendah,Rendah,Tinggi,Tidak Puas
Tinggi,Tinggi,Tinggi,Sedang,Puas
Rendah,Rendah,Sedang,Tinggi,Tidak Puas
Tinggi,Tinggi,Tinggi,Sedang,Puas
Tinggi,Tinggi,Rendah,Tinggi,Tidak Puas
Rendah,Rendah,Rendah,Rendah,Puas
Tinggi,Tinggi,Tinggi,Tinggi,Puas
Tinggi,Tinggi,Rendah,Tinggi,Puas
Rendah,Tinggi,Rendah,Rendah,Tidak Puas
Tinggi,Tinggi,Tinggi,Tinggi,Puas
Tinggi,Tinggi,Rendah,Tinggi,Puas
Rendah,Rendah,Rendah,Rendah,Puas
Tinggi,Tinggi,Tinggi,Tinggi,Puas
Tinggi,Tinggi,Rendah,Tinggi,Puas
